author/description,author/location,retweet/extendedEntities/media/2/original_info/focus_rects/4/x,retweetCount,text,twitterUrl,type,url
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,0,"This means first verifying the conditions, and second driving positive impact in the communities where our coffees are grown. Learn more about our efforts here: https://t.co/Lcf0bmsFfM",https://twitter.com/peetscoffee/status/1563910693715202053,tweet,https://x.com/peetscoffee/status/1563910693715202053
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,"Pups deserve Peet's, too. 😍 Happy #NationalDogDay to man's best friend. https://t.co/P4CA68oMBV",https://twitter.com/peetscoffee/status/1563194568270647296,tweet,https://x.com/peetscoffee/status/1563194568270647296
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,"Vine &amp; Walnut is back. 🍂 Warm up with notes of cranberry &amp; date, cedar &amp; spice, with a touch of toasted marshmallow sweetness. Available now in our coffeebars and online. https://t.co/CDbrpTPbtB",https://twitter.com/peetscoffee/status/1562847278859255808,tweet,https://x.com/peetscoffee/status/1562847278859255808
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,0,"The Chicken &amp; Waffles Sandwich is back, and just in time for #NationalWaffleDay. 😍 https://t.co/12Fqt1jT7t",https://twitter.com/peetscoffee/status/1562545287306043392,tweet,https://x.com/peetscoffee/status/1562545287306043392
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,10,"FALL 👏 IS 👏 HERE 👏 Whether you’re obsessed with Pumpkin or you’re ready to join Team Caramel Apple, get ready for all the Fall feels. 
 
🧡 Pumpkin Cold Brew Oat Latte with Jelly  
🍎 Iced Caramel Apple Latte 
🎃 Pumpkin Latte https://t.co/hcLLbEglKe",https://twitter.com/peetscoffee/status/1562462236341178368,tweet,https://x.com/peetscoffee/status/1562462236341178368
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,You know what time it is 🎃🍂 8.24,https://twitter.com/peetscoffee/status/1562107404103299072,tweet,https://x.com/peetscoffee/status/1562107404103299072
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,3,"what I need right now:

           F     F

       O           E

    C                   E 

                             E 

                               e

                                 e",https://twitter.com/peetscoffee/status/1561774075676168193,tweet,https://x.com/peetscoffee/status/1561774075676168193
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,"We'll take our weekends warm and our beverages iced. ☀️
(Instagram: hungriehoney) https://t.co/a49sxJboob",https://twitter.com/peetscoffee/status/1561020236169728008,tweet,https://x.com/peetscoffee/status/1561020236169728008
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",0,1,RT @IFlyOAKland: We are very excited to introduce to you the new @peetscoffee location in Terminal 1 at OAK! Did you know that Peet's opene…,https://twitter.com/peetscoffee/status/1560674572982108160,tweet,https://x.com/peetscoffee/status/1560674572982108160
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,"ONE WEEK LEFT 💫 Savor your favorite summer beverages before they're gone.

🤍Brown Sugar Cold Brew Oat Latte
🤎Brown Sugar Oat Latte (hot or iced)  
💚Iced Brown Sugar Matcha Oat Latte https://t.co/pDwQA5sXRy",https://twitter.com/peetscoffee/status/1559933077291356160,tweet,https://x.com/peetscoffee/status/1559933077291356160
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,4,*me watching my barista make my coffee* https://t.co/0MxmY2Dd7c,https://twitter.com/peetscoffee/status/1559650534671482886,tweet,https://x.com/peetscoffee/status/1559650534671482886
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,"""On my way with coffee"" = A universal love language.  🥰 #TuesdayThoughts",https://twitter.com/peetscoffee/status/1559593331604193281,tweet,https://x.com/peetscoffee/status/1559593331604193281
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,You can only add one flavor to your coffee for the rest of your life. What are you choosing? 😏,https://twitter.com/peetscoffee/status/1559223405244719104,tweet,https://x.com/peetscoffee/status/1559223405244719104
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,Quote this tweet with the coffee you're drinking today.,https://twitter.com/peetscoffee/status/1558845904420884480,tweet,https://x.com/peetscoffee/status/1558845904420884480
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,When the ⚠️BeReal⚠️ lets you show off your coffee order: https://t.co/7afBoQRJYL,https://twitter.com/peetscoffee/status/1558222985521233922,tweet,https://x.com/peetscoffee/status/1558222985521233922
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,0,"LAST CALL for our limited Zenith Summer Blend. 🌞 This coffee is bright and refreshing, with just the right acidity to make your mouth water for more—and with enough flavor that ice won’t weaken it. But just like summer, this won’t last forever. Order now. https://t.co/buOdDCDq1S",https://twitter.com/peetscoffee/status/1558128680316112898,tweet,https://x.com/peetscoffee/status/1558128680316112898
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,“you attract what you fear” endless great coffee forever and ever ahhh 🙈,https://twitter.com/peetscoffee/status/1557868277396918272,tweet,https://x.com/peetscoffee/status/1557868277396918272
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,0,"#NationalLazyDay + coffee = ✨caffeinated lazy✨
We're all for it.",https://twitter.com/peetscoffee/status/1557465219588407297,tweet,https://x.com/peetscoffee/status/1557465219588407297
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,"Wake up. 
Drink coffee. 
Check Twitter. 
Morning complete. ✅",https://twitter.com/peetscoffee/status/1557411457595084800,tweet,https://x.com/peetscoffee/status/1557411457595084800
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,1,Change one word in any book title to include coffee. #BookLoversDay 📚☕️,https://twitter.com/peetscoffee/status/1557053716028706821,tweet,https://x.com/peetscoffee/status/1557053716028706821
"The Original Craft Coffee.™ Since 1966. ☕️
Keep up with the latest: https://t.co/xFbGajSqTc","Bay Area, California",,2,Fill in the blank with your daily dose of happiness (and enjoy a cup of coffee while you're at it). ✨ https://t.co/U2OUSdcfOW,https://twitter.com/peetscoffee/status/1556671586299551744,tweet,https://x.com/peetscoffee/status/1556671586299551744
